cte,steering_angle,error
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7599,-0.037995,0.577318
0.7598,-0.03799,0.577315
0.7597,-0.037985,0.577296
0.7596,-0.03798,0.577266
0.7594,-0.03797,0.577213
0.7593,-0.037965,0.577157
0.759,-0.03795,0.577074
0.7587,-0.037935,0.576971
0.7584,-0.03792,0.576851
0.7582,-0.03791,0.576727
0.7576,-0.03788,0.576564
0.7573,-0.037865,0.576394
0.7568,-0.03784,0.576202
0.7563,-0.037815,0.575991
0.7557,-0.037785,0.575757
0.7553,-0.037765,0.575517
0.7546,-0.03773,0.575252
0.7536,-0.03768,0.574947
0.7528,-0.03764,0.574617
0.7519,-0.037595,0.574261
0.7508,-0.03754,0.57387
0.7501,-0.037505,0.573469
0.7489,-0.037445,0.573034
0.7477,-0.037385,0.572568
0.7458,-0.03729,0.57204
0.7442,-0.03721,0.571471
0.7425,-0.037125,0.57086
0.7413,-0.037065,0.570233
0.7394,-0.03697,0.569561
0.7374,-0.03687,0.568844
0.7352,-0.03676,0.568079
0.7329,-0.036645,0.567265
0.7304,-0.03652,0.566398
0.7287,-0.036435,0.565513
0.726,-0.0363,0.564576
0.7231,-0.036155,0.563583
0.7201,-0.036005,0.562536
0.7169,-0.035845,0.561431
0.7124,-0.03562,0.560233
0.7088,-0.03544,0.558976
0.7063,-0.035315,0.557697
0.7024,-0.03512,0.556357
0.6983,-0.034915,0.554954
0.6941,-0.034705,0.55349
0.6896,-0.03448,0.551962
0.6861,-0.034305,0.5504
0.6852,-0.03426,0.548873
0.6889,-0.034445,0.547498
0.6892,-0.03446,0.54618
0.6881,-0.034405,0.544881
0.6887,-0.034435,0.543643
0.6914,-0.03457,0.542512
0.6957,-0.034785,0.54152
0.703,-0.03515,0.540732
0.7092,-0.03546,0.540113
0.7153,-0.035765,0.539654
0.7214,-0.03607,0.539348
0.7255,-0.036275,0.539145
0.7315,-0.036575,0.539083
0.7375,-0.036875,0.539156
0.7434,-0.03717,0.539357
0.7492,-0.03746,0.53968
0.7549,-0.037745,0.540118
0.7605,-0.038025,0.540664
0.766,-0.0383,0.541313
0.7695,-0.038475,0.542019
0.7747,-0.038735,0.542815
0.7798,-0.03899,0.543697
0.7846,-0.03923,0.544656
0.7893,-0.039465,0.545687
0.7937,-0.039685,0.546781
0.798,-0.0399,0.547935
0.802,-0.0401,0.549141
0.8045,-0.040225,0.550367
0.808,-0.0404,0.551633
