cte,steering_angle,error
0.7598,-0.0790192,0.577296
0.7598,-0.0805388,0.577296
0.7598,-0.0820584,0.577296
0.7598,-0.083578,0.577296
0.7598,-0.0850976,0.577296
0.7598,-0.0866172,0.577296
0.7598,-0.0881368,0.577296
0.7597,-0.0891462,0.577277
0.7596,-0.0906554,0.577245
0.7593,-0.091144,0.577175
0.7586,-0.0905912,0.57702
0.7581,-0.0930574,0.576828
0.7575,-0.0940124,0.576595
0.7571,-0.0964866,0.576353
0.7563,-0.0959192,0.576062
0.7551,-0.0953094,0.575694
0.754,-0.0972074,0.575272
0.7532,-0.100134,0.57483
0.752,-0.0995178,0.574339
0.7505,-0.0993688,0.573784
0.7488,-0.0996964,0.573161
0.7469,-0.1,0.572466
0.7448,-0.10028,0.571695
0.7424,-0.100025,0.570839
0.7398,-0.100244,0.569897
0.7369,-0.099928,0.568864
0.7348,-0.105188,0.567792
0.7314,-0.0998104,0.566619
0.7276,-0.0988856,0.565336
0.7234,-0.0979124,0.563935
0.719,-0.0979104,0.56242
0.7159,-0.105532,0.56086
0.7108,-0.0964438,0.559174
0.7053,-0.0953044,0.557359
0.6994,-0.0941132,0.55541
0.6932,-0.0933796,0.55333
0.6866,-0.0920928,0.551116
0.6796,-0.090752,0.548768
0.6721,-0.0888462,0.546279
0.6641,-0.0868744,0.543648
0.6586,-0.100142,0.540967
0.6469,-0.0692654,0.538051
0.6405,-0.0964064,0.535079
0.631,-0.0812184,0.531967
0.6207,-0.0774298,0.528707
0.6098,-0.0745594,0.525297
0.5986,-0.0731366,0.521745
0.5875,-0.0737016,0.518066
0.5786,-0.0849688,0.514325
0.5738,-0.106136,0.510624
0.5744,-0.134345,0.507081
0.5602,-0.0600456,0.503364
0.5488,-0.0740032,0.499549
0.5403,-0.0887338,0.495704
0.5359,-0.109866,0.491913
0.5296,-0.100795,0.488138
0.5231,-0.100191,0.484374
0.5159,-0.0970028,0.480612
0.508,-0.0937288,0.47684
0.4993,-0.0898574,0.473048
0.4899,-0.0863972,0.469227
0.4833,-0.100704,0.465426
0.4728,-0.0810994,0.461587
0.4613,-0.075872,0.4577
0.449,-0.07154,0.45376
0.4406,-0.0910812,0.449826
0.4276,-0.0676364,0.445841
0.4135,-0.0615534,0.441799
0.3988,-0.057881,0.437701
0.3836,-0.0546282,0.43355
0.3681,-0.0523144,0.429352
0.3521,-0.0489186,0.425111
0.3411,-0.0735008,0.420881
0.3243,-0.0434694,0.416615
0.3063,-0.036282,0.412311
0.2878,-0.0325076,0.407976
0.2692,-0.030686,0.403619
0.2567,-0.0604494,0.399289
0.238,-0.0280554,0.394951
0.2183,-0.021522,0.39061
0.2049,-0.0520918,0.386306
0.1848,-0.0169514,0.382012
0.164,-0.0116994,0.377733
0.1428,-0.007865,0.373479
0.1221,-0.0085392,0.369261
0.1017,-0.0082026,0.365087
0.0813,-0.0063252,0.360967
0.0677,-0.0391006,0.356917
0.0473,-0.0031552,0.352932
0.0259,0.003933,0.349018
0.0045,0.006064,0.345183
-0.0163,0.0051766,0.341434
-0.0431,0.0379428,0.337782
-0.0628,0.0045384,0.334231
-0.0869,0.0291222,0.330792
-0.0985,-0.0320208,0.327447
-0.1206,0.0229304,0.324221
-0.1506,0.0657316,0.321145
-0.1626,-0.0227432,0.318168
-0.1825,0.0206314,0.315319
-0.1971,-0.0024948,0.312582
-0.2162,0.0238672,0.309975
-0.2348,0.0252164,0.307501
-0.2479,0.0010418,0.305135
-0.2635,0.0171484,0.302891
-0.2783,0.0167046,0.300764
-0.2853,-0.0195052,0.298714
-0.2983,0.0139108,0.296772
-0.3115,0.018373,0.294939
-0.321,0.0029836,0.293195
-0.3318,0.0127444,0.291545
-0.3415,0.0104136,0.289983
-0.3459,-0.0134396,0.288476
-0.3535,0.0055416,0.287042
-0.3557,-0.0190144,0.285646
-0.3548,-0.0323846,0.284269
-0.3494,-0.0532178,0.282882
-0.3398,-0.0729918,0.281463
-0.327,-0.0881138,0.279997
-0.318,-0.0678768,0.278506
-0.3069,-0.0773754,0.276983
-0.295,-0.0804816,0.275426
-0.2902,-0.0433916,0.273871
-0.2848,-0.0448772,0.272317
-0.2803,-0.038787,0.270767
-0.2763,-0.0346606,0.269224
-0.2729,-0.0299852,0.26769
-0.27,-0.0257724,0.266169
-0.2683,-0.0179506,0.264663
-0.2658,-0.0202222,0.263171
-0.2632,-0.0190178,0.261691
-0.2606,-0.0173248,0.260223
-0.2581,-0.015137,0.258767
-0.2556,-0.0134652,0.257323
-0.2529,-0.0128306,0.255891
-0.25,-0.0122342,0.254469
-0.248,-0.006065,0.253061
-0.2449,-0.010026,0.251661
-0.2412,-0.0115694,0.250269
-0.2372,-0.0116668,0.248884
-0.2329,-0.0118138,0.247503
-0.2284,-0.0115132,0.246128
-0.2236,-0.011765,0.244756
-0.2186,-0.0115658,0.243388
-0.2133,-0.0119278,0.242023
-0.2078,-0.0118426,0.240662
-0.204,-0.0021174,0.239307
-0.1979,-0.0126566,0.237955
-0.1914,-0.0137666,0.236604
-0.1844,-0.0154502,0.235253
-0.1773,-0.0151568,0.233904
-0.17,-0.0154264,0.232555
-0.1626,-0.0152436,0.231208
-0.155,-0.015613,0.229862
-0.1499,-0.0022514,0.228524
-0.1422,-0.0146778,0.227189
-0.1338,-0.017704,0.225856
-0.125,-0.0193022,0.224525
-0.1162,-0.0189338,0.223198
-0.1075,-0.0180902,0.221875
-0.0957,-0.033599,0.220554
-0.0868,-0.0188488,0.219239
-0.0607,-0.106392,0.217917
-0.0288,-0.137602,0.216593
0.0036,-0.142451,0.215281
0.03,-0.11427,0.213989
0.0503,-0.085045,0.212723
0.0656,-0.0608792,0.211482
0.0772,-0.042896,0.210266
0.0864,-0.0312216,0.209073
0.0917,-0.0116988,0.2079
0.099,-0.0219226,0.206748
0.1063,-0.022183,0.205618
0.1134,-0.0214712,0.20451
0.12,-0.0192586,0.203424
0.1262,-0.0175554,0.202359
0.1322,-0.0168814,0.201314
0.1361,-0.0065302,0.200287
0.1419,-0.016418,0.199281
0.148,-0.0183874,0.198296
0.1543,-0.0199162,0.197331
0.1606,-0.0204978,0.196389
0.1667,-0.0201132,0.195468
0.1707,-0.010069,0.194564
0.1766,-0.020268,0.193681
0.1827,-0.02204,0.192819
0.1889,-0.0233752,0.191978
0.1948,-0.0227194,0.191159
0.2005,-0.0225958,0.19036
0.2042,-0.0133224,0.189578
0.2094,-0.0217522,0.188815
0.2147,-0.0232442,0.188072
0.22,-0.0243004,0.187348
0.2249,-0.0233658,0.186643
0.2295,-0.0229586,0.185956
0.2385,-0.0465326,0.185297
0.2571,-0.097148,0.184692
0.2744,-0.093228,0.18414
0.3042,-0.159642,0.18368
0.3315,-0.1509,0.183311
0.3518,-0.119027,0.183014
0.3642,-0.0819282,0.182765
0.3701,-0.051228,0.182539
0.3713,-0.0290864,0.18232
0.3708,-0.021805,0.182102
0.3688,-0.0153992,0.181878
0.3656,-0.010381,0.181645
0.3632,-0.015464,0.181406
0.3579,-0.0017728,0.181151
0.3551,-0.015345,0.180889
0.3511,-0.0103108,0.180616
0.3472,-0.0117982,0.180332
0.3434,-0.0132968,0.180039
0.3409,-0.0209356,0.179741
0.3372,-0.0159514,0.179434
0.3335,-0.016958,0.179118
0.3296,-0.016926,0.178793
0.3258,-0.0183772,0.17846
0.322,-0.0192952,0.178119
0.3194,-0.02631,0.177773
0.3142,-0.0140322,0.177415
0.3114,-0.026965,0.177053
0.3071,-0.0202296,0.176682
0.3026,-0.0199544,0.176302
0.2994,-0.0272938,0.175916
0.2928,-0.010772,0.175517
0.2892,-0.0265362,0.175113
0.2839,-0.018614,0.174698
0.28,-0.0263206,0.174278
0.2835,-0.0647692,0.173869
0.2948,-0.106015,0.173493
0.3144,-0.150625,0.173171
0.3342,-0.15479,0.172907
0.3466,-0.120234,0.172682
0.3501,-0.0772902,0.172468
0.3494,-0.057419,0.172255
0.3434,-0.0315018,0.172026
0.325,0.0311984,0.171747
0.3153,-0.0124446,0.171444
0.3019,0.0063172,0.171109
0.2932,-0.017365,0.170756
0.2805,0.0028872,0.170376
0.2677,0.0036846,0.169969
0.2552,0.002487,0.16954
0.2473,-0.0206442,0.169097
0.2364,-0.0054426,0.168637
0.2257,-0.006232,0.168161
0.2153,-0.0075184,0.16767
0.2088,-0.0271688,0.167171
0.1996,-0.0135168,0.166662
0.1904,-0.0133322,0.166142
0.1812,-0.0131146,0.165613
0.1752,-0.0291902,0.16508
0.1665,-0.0154632,0.164539
0.1575,-0.013678,0.163991
0.1485,-0.0133594,0.163437
0.1396,-0.0135162,0.162877
0.131,-0.0146682,0.162312
0.1254,-0.0295914,0.161746
0.1171,-0.0157106,0.161177
0.1085,-0.013759,0.160604
0.1027,-0.027558,0.160032
0.094,-0.0124974,0.159457
0.0899,-0.0353248,0.158883
0.1108,-0.162629,0.15833
0.1339,-0.176147,0.157802
0.1625,-0.206731,0.15731
0.1973,-0.241475,0.156868
0.2199,-0.18302,0.156465
0.2278,-0.110593,0.156078
0.2221,-0.0422838,0.155684
0.2128,-0.0235814,0.155278
0.1945,0.0230722,0.154848
0.1729,0.0416132,0.154392
0.158,0.0095272,0.153921
0.137,0.0421056,0.153431
0.1234,0.0064832,0.152932
0.0992,0.061977,0.152418
0.0883,-0.0033258,0.151899
0.0753,0.0086196,0.151377
0.0646,-0.001631,0.150853
0.0583,-0.0227964,0.15033
0.0502,-0.0127534,0.149808
0.0426,-0.0142372,0.149287
0.0379,-0.0279898,0.148768
0.0314,-0.0180372,0.148251
0.0249,-0.0170592,0.147737
0.0206,-0.0272808,0.147225
0.0143,-0.0162784,0.146717
0.0078,-0.0142356,0.146211
0.0013,-0.0131694,0.145709
0.0041,-0.0595282,0.14521
0.0109,-0.07979,0.144714
0.0169,-0.075974,0.144223
0.0271,-0.0975892,0.143737
0.0392,-0.107901,0.143256
0.0462,-0.0826788,0.142781
0.0472,-0.0523244,0.14231
0.0446,-0.0335452,0.14184
0.0374,-0.009237,0.141372
0.0275,0.0059016,0.140905
0.0161,0.0152378,0.140439
0.0084,-0.0017688,0.139976
-0.0023,0.0150484,0.139516
-0.0124,0.0138248,0.139059
-0.0186,-0.0042804,0.138605
-0.0264,0.0052836,0.138156
-0.033,0.000735998,0.137711
-0.0367,-0.0126048,0.13727
-0.0411,-0.0078724,0.136832
-0.0446,-0.011231,0.136399
-0.0473,-0.014172,0.135969
-0.0492,-0.0171968,0.135542
-0.0504,-0.0197942,0.135119
-0.0514,-0.019917,0.134698
-0.0639,0.0396278,0.134285
-0.0192,-0.250145,0.133862
0.0751,-0.507073,0.133459
0.1302,-0.3162,0.133094
0.1601,-0.192871,0.132758
0.1497,0.009998,0.132414
0.1066,0.178218,0.132038
0.0639,0.180974,0.131642
0.0161,0.211827,0.131237
-0.0073,0.0927804,0.130833
-0.0155,0.018217,0.130432
-0.0204,0.0028262,0.130035
-0.0135,-0.056269,0.129639
-0.0046,-0.0665898,0.129245
0.0047,-0.0689622,0.128853
0.0147,-0.072902,0.128465
0.0194,-0.046282,0.128079
0.0211,-0.0308258,0.127696
0.0208,-0.0201442,0.127315
0.0191,-0.0123122,0.126936
0.0165,-0.0068864,0.126559
0.0146,-0.0095388,0.126184
0.0118,-0.0041324,0.125811
0.0092,-0.0042602,0.12544
0.0077,-0.0090218,0.125071
0.0059,-0.0067672,0.124705
0.0048,-0.0096058,0.12434
0.0042,-0.0115188,0.123978
0.0042,-0.0140168,0.123617
0.0047,-0.0160816,0.123259
0.0067,-0.0233222,0.122903
0.0471,-0.219005,0.122555
0.0765,-0.166667,0.12222
0.1134,-0.207667,0.121906
0.1593,-0.257176,0.121631
0.2168,-0.320979,0.121418
0.2572,-0.239671,0.121261
0.2719,-0.112834,0.121127
0.2771,-0.0660754,0.121002
0.268,0.0061136,0.120863
0.2563,0.020068,0.120708
0.2352,0.0689868,0.120525
0.212,0.0816448,0.120314
0.1971,0.0414914,0.120087
0.1778,0.0653,0.119841
0.1616,0.0513138,0.119581
0.1495,0.0319302,0.119313
0.1439,-0.000109601,0.119041
0.1402,-0.0093402,0.118768
0.1365,-0.0090216,0.118494
0.1346,-0.017833,0.11822
0.1438,-0.0742156,0.117954
0.1826,-0.226066,0.117724
0.2155,-0.199847,0.117531
0.2549,-0.236342,0.117389
0.2735,-0.134304,0.117274
0.2883,-0.116935,0.117182
0.2903,-0.053327,0.117094
0.2858,-0.0206028,0.116999
0.2733,0.0204166,0.116886
0.2561,0.0453984,0.11675
0.2437,0.0223978,0.116598
0.226,0.0504142,0.116424
0.2148,0.0187812,0.116239
0.2003,0.0364812,0.116039
0.188,0.0264644,0.115827
0.1786,0.0126638,0.115607
0.1742,-0.0121442,0.115385
0.1697,-0.0114484,0.115159
0.1704,-0.0377834,0.114935
0.2302,-0.339661,0.114775
0.307,-0.432905,0.114722
0.3927,-0.486719,0.114824
0.4347,-0.27326,0.115014
0.4718,-0.253398,0.11529
0.4648,-0.0331252,0.115548
0.4337,0.0896256,0.115733
0.3887,0.16287,0.115823
0.3413,0.178961,0.115824
0.3124,0.0887806,0.115778
0.2771,0.123835,0.11568
0.2406,0.133096,0.115534
0.2223,0.0435758,0.115368
0.2145,-0.008484,0.115194
0.2146,-0.0483484,0.115021
0.219,-0.0706714,0.114854
0.2227,-0.0679546,0.114692
0.2284,-0.0789646,0.114537
0.2304,-0.06113,0.114385
0.2293,-0.0460034,0.114232
0.2269,-0.0397544,0.114077
0.2213,-0.0236898,0.113918
0.2137,-0.0134232,0.11375
0.2046,-0.0054958,0.113574
0.1948,-0.0014876,0.11339
0.1817,0.0158698,0.113194
0.1753,-0.0174354,0.112994
0.1672,-0.0085582,0.112788
0.1597,-0.0112284,0.112578
0.1626,-0.0639464,0.11237
0.2013,-0.247347,0.112197
0.2542,-0.324184,0.112083
0.3285,-0.43912,0.112073
0.3667,-0.262913,0.112127
0.3983,-0.23355,0.112237
0.4041,-0.105639,0.112359
0.3959,-0.0353972,0.112464
0.3711,0.0494684,0.112524
0.349,0.0375126,0.112545
0.3135,0.107421,0.112512
0.2769,0.115996,0.112428
0.254,0.0492374,0.112316
0.2249,0.0826706,0.112171
0.2006,0.0606902,0.112004
0.2154,-0.136711,0.111851
0.2667,-0.324845,0.111757
0.3694,-0.592815,0.111814
0.4555,-0.519294,0.112035
0.5093,-0.364151,0.112374
0.523,-0.166029,0.112745
0.5163,-0.0643584,0.113097
0.4987,-0.0090666,0.113408
0.4613,0.0927744,0.113635
0.4154,0.139052,0.113769
0.3838,0.0699598,0.113845
0.3406,0.13161,0.11385
0.314,0.050652,0.113816
0.2904,0.0374396,0.113749
0.2584,0.0821312,0.113643
0.23,0.0665206,0.113507
0.2142,0.0046856,0.113355
0.2012,-0.0083226,0.113192
0.1848,0.0101008,0.113016
0.1897,-0.0970418,0.112844
0.2867,-0.567497,0.112776
0.3785,-0.551,0.112843
0.4608,-0.512137,0.113064
0.5558,-0.585705,0.113496
0.5981,-0.327077,0.114034
0.6247,-0.25195,0.114641
0.622,-0.105912,0.115238
0.5955,0.0150176,0.115762
0.5666,0.0291984,0.11621
0.5161,0.14161,0.116537
0.4605,0.172105,0.116745
0.4071,0.165954,0.116851
0.3619,0.129049,0.116882
0.3621,-0.0984072,0.116912
0.4038,-0.310604,0.117012
0.478,-0.481207,0.117252
0.5198,-0.324158,0.11758
0.5583,-0.312337,0.117995
0.5686,-0.173139,0.118434
0.5636,-0.096835,0.118859
0.5389,0.003567,0.119224
0.5147,0.0030046,0.119533
0.4436,0.244304,0.119697
0.4121,0.0492104,0.119803
0.3743,0.0843134,0.119846
0.3535,0.001233,0.119856
0.3349,-0.0080646,0.11984
0.309,0.0308948,0.119789
0.2924,-0.014078,0.119717
0.2701,0.0165414,0.11962
0.2565,-0.025711,0.119508
0.244,-0.030073,0.119383
0.2321,-0.03199,0.119247
0.2143,-0.000790204,0.119095
0.2027,-0.0306962,0.118934
0.2168,-0.160699,0.118786
0.3396,-0.716698,0.118779
0.4661,-0.748166,0.118981
0.5814,-0.704073,0.11943
0.6807,-0.634495,0.120133
0.7604,-0.545043,0.121068
0.8189,-0.445601,0.122187
0.8688,-0.408461,0.123473
0.879,-0.211962,0.12479
0.8723,-0.127854,0.126077
0.8529,-0.0634946,0.127292
0.807,0.0725356,0.128349
0.7459,0.153635,0.12921
0.7013,0.074637,0.129938
0.6372,0.177702,0.130491
0.596,0.0665588,0.130941
0.5248,0.223067,0.131229
0.5012,-0.0131298,0.131468
0.5118,-0.185757,0.131727
0.5671,-0.41546,0.132104
0.6011,-0.313104,0.132558
0.6254,-0.267831,0.133069
0.6396,-0.219587,0.133613
0.645,-0.17699,0.134169
0.6387,-0.118728,0.134707
0.6168,-0.039382,0.135189
0.595,-0.0385286,0.135617
0.556,0.05061,0.135956
0.5266,0.00483119,0.136232
0.482,0.0846466,0.136419
0.4518,0.0150882,0.13655
0.474,-0.249677,0.136721
0.5199,-0.373299,0.136979
0.6028,-0.567137,0.137416
0.7114,-0.707187,0.138127
0.7644,-0.435219,0.138985
0.8052,-0.379101,0.139962
0.8045,-0.172348,0.140934
0.7845,-0.074675,0.141841
0.7347,0.0785336,0.142601
0.6689,0.164403,0.143182
0.6215,0.0764536,0.143644
0.5539,0.183614,0.143953
0.5107,0.0653622,0.144175
0.4528,0.144148,0.14429
0.4179,0.0322328,0.144347
0.3726,0.088551,0.144337
0.3334,0.062043,0.144274
0.3108,-0.0184076,0.144185
0.2827,0.0123556,0.144064
0.2662,-0.0434808,0.143928
0.2445,-0.0147672,0.143771
0.2242,-0.0191882,0.143596
0.2131,-0.0635818,0.143414
0.23,-0.204901,0.143246
0.3306,-0.633355,0.143183
0.4242,-0.607882,0.143251
0.506,-0.557446,0.143459
0.5712,-0.481527,0.143796
0.6184,-0.396967,0.144234
0.6571,-0.359192,0.144762
0.6633,-0.19821,0.145303
0.6551,-0.126298,0.145822
0.6228,-0.00344361,0.146263
0.5907,-0.00203561,0.146633
0.5542,0.0230794,0.146924
0.5146,0.0422672,0.147138
0.4513,0.167116,0.147241
0.4076,0.0737826,0.147275
0.3666,0.0648456,0.147252
0.3083,0.157808,0.147158
0.2713,0.0557098,0.147025
0.2235,0.115234,0.146851
0.1959,0.0177352,0.146657
0.172,0.00231339,0.146447
0.1469,0.0114506,0.146224
0.15,-0.129345,0.146004
0.1938,-0.336889,0.145811
0.2227,-0.265,0.14564
0.2439,-0.2283,0.145487
0.2605,-0.206525,0.14535
0.2622,-0.13168,0.145214
0.257,-0.0960576,0.145075
0.2392,-0.0306188,0.14492
0.2215,-0.0286646,0.144752
0.1902,0.0431628,0.144561
0.1666,0.007719,0.144357
0.131,0.0719042,0.144134
0.1072,0.015894,0.143903
0.1338,-0.238285,0.143683
0.1618,-0.247702,0.143479
0.2102,-0.354292,0.143306
0.269,-0.412092,0.143183
0.3043,-0.298146,0.143096
0.3114,-0.157939,0.143016
0.3002,-0.065406,0.142925
0.2816,-0.0266212,0.142816
0.2578,0.0017074,0.142684
0.2155,0.098435,0.142519
0.1843,0.0460918,0.142333
0.1536,0.0467882,0.14213
0.1083,0.124781,0.141908
0.0787,0.0500156,0.141677
0.0397,0.101999,0.141438
0.0058,0.0812388,0.141198
-0.0132,0.010186,0.140959
-0.0356,0.031135,0.140723
-0.0478,-0.0168118,0.140489
-0.0622,-0.0024894,0.140259
-0.07,-0.0328248,0.140031
-0.0796,-0.0209998,0.139806
-0.0877,-0.0259004,0.139584
-0.095,-0.0274886,0.139366
-0.0994,-0.0399472,0.139149
-0.1037,-0.0385354,0.138935
-0.107,-0.0417994,0.138722
-0.0881,-0.153464,0.138505
-0.0211,-0.399619,0.138275
0.0449,-0.400285,0.138049
0.0778,-0.237097,0.137831
0.0979,-0.1741,0.137619
0.1106,-0.137341,0.137412
0.1061,-0.0498236,0.137204
0.0948,-0.0135932,0.136993
0.0701,0.057014,0.136776
0.0392,0.0922592,0.136555
0.0177,0.0485638,0.136332
-0.0024,0.0446906,0.136109
-0.0307,0.0896352,0.135888
-0.0484,0.039466,0.135671
-0.0638,0.0305372,0.135457
-0.0837,0.0561426,0.135248
-0.095,0.0155024,0.135044
-0.1041,0.0068262,0.134843
-0.1148,0.0175486,0.134646
-0.1202,-0.0066422,0.134452
