cte,steering_angle,error
0.7598,-0.306959,0.577296
0.7598,-0.308479,0.577296
0.7598,-0.309998,0.577296
0.7598,-0.311518,0.577296
0.7598,-0.313038,0.577296
0.7598,-0.314557,0.577296
0.7597,-0.315537,0.577274
0.7593,-0.315395,0.577182
0.7586,-0.315132,0.576992
0.7578,-0.315828,0.576719
0.7568,-0.315942,0.576358
0.7556,-0.315973,0.575906
0.7542,-0.315921,0.575361
0.7526,-0.315786,0.574721
0.7507,-0.315028,0.573976
0.7493,-0.318466,0.573193
0.747,-0.31454,0.5723
0.7444,-0.313489,0.571291
0.7416,-0.312852,0.570169
0.7384,-0.311049,0.568922
0.736,-0.315561,0.567626
0.7322,-0.308506,0.566193
0.7279,-0.305741,0.564613
0.7233,-0.303848,0.562886
0.7182,-0.300744,0.561003
0.7145,-0.307693,0.559061
0.7063,-0.283326,0.556831
0.7017,-0.300889,0.554529
0.6945,-0.286398,0.55204
0.6864,-0.280031,0.549343
0.6805,-0.290032,0.54656
0.6713,-0.271195,0.543563
0.661,-0.262897,0.540331
0.65,-0.256297,0.536866
0.6382,-0.248853,0.533164
0.6256,-0.241064,0.529225
0.6121,-0.232389,0.525048
0.5227,0.181826,0.518421
0.509,-0.192212,0.511771
0.4998,-0.212032,0.505222
0.4764,-0.132624,0.498435
0.4317,-0.00910781,0.491005
0.4083,-0.107064,0.483463
0.3873,-0.111439,0.475884
0.3729,-0.139425,0.468399
0.35,-0.0884648,0.46088
0.3272,-0.0804992,0.453352
0.3086,-0.0946764,0.445891
0.3001,-0.142377,0.438629
0.2829,-0.0925624,0.431457
0.2539,-0.0224702,0.424261
0.2283,-0.0296868,0.417105
0.2073,-0.0447014,0.410045
0.1949,-0.0831312,0.403155
0.1771,-0.0493654,0.396396
0.1585,-0.0382424,0.389766
0.1393,-0.027841,0.383268
0.12,-0.019861,0.376908
0.1007,-0.0123424,0.370692
0.0878,-0.039358,0.364642
0.0686,-0.000315204,0.358742
0.0486,0.0115876,0.352994
0.0354,-0.0172032,0.34741
0.0161,0.0209846,0.341986
-0.0035,0.0303316,0.336725
-0.0164,0.0020244,0.331627
-0.0349,0.0374942,0.326696
-0.0535,0.0455412,0.321933
-0.0715,0.0498842,0.317342
-0.0885,0.0518612,0.31292
-0.1046,0.0540104,0.308667
-0.1149,0.0293602,0.304563
-0.1295,0.0569592,0.300621
-0.1392,0.0366176,0.29682
-0.1529,0.0624034,0.293175
-0.1662,0.0660558,0.28968
-0.1784,0.0657926,0.286332
-0.1857,0.044584,0.283103
-0.1957,0.0624754,0.280004
-0.2051,0.0636456,0.27703
-0.2136,0.0629728,0.274173
-0.2208,0.0597944,0.271424
-0.2248,0.045844,0.268763
-0.23,0.054384,0.266193
-0.2344,0.0526128,0.263708
-0.2376,0.048368,0.261298
-0.2399,0.0452678,0.258956
-0.2408,0.0391094,0.256672
-0.2414,0.0383322,0.254443
-0.2412,0.0347346,0.252262
-0.24,0.0297346,0.250123
-0.238,0.0254106,0.24802
-0.2352,0.020761,0.245948
-0.2317,0.0163244,0.243902
-0.229,0.0197024,0.241887
-0.2246,0.0098916,0.239893
-0.2195,0.0047906,0.237916
-0.2139,0.000478399,0.235956
-0.208,-0.0029656,0.234009
-0.2018,-0.0050224,0.232076
-0.1955,-0.0061318,0.230157
-0.1911,0.00351,0.228259
-0.1821,-0.0212062,0.226364
-0.1773,-0.000252001,0.22449
-0.1703,-0.0121918,0.222628
-0.163,-0.0147662,0.220779
-0.1554,-0.017476,0.218941
-0.1503,-0.0051968,0.217123
-0.1402,-0.0324392,0.215311
-0.135,-0.0082336,0.21352
-0.1276,-0.0204248,0.211743
-0.1199,-0.0232538,0.209981
-0.1122,-0.024601,0.208234
-0.1046,-0.0254266,0.206503
-0.0973,-0.0251506,0.20479
-0.0902,-0.0253116,0.203094
-0.0833,-0.025411,0.201418
-0.0765,-0.0259892,0.199761
-0.0705,-0.022765,0.198124
-0.058,-0.0586722,0.196501
-0.0411,-0.085878,0.194891
-0.0204,-0.111653,0.193297
0.0022,-0.128741,0.191725
0.0239,-0.131523,0.190184
0.0415,-0.116709,0.188676
0.0551,-0.10083,0.187203
0.0623,-0.0704224,0.185759
0.0734,-0.0931058,0.18435
0.0778,-0.0601324,0.182968
0.0825,-0.0623046,0.181613
0.0858,-0.0554352,0.180283
0.0878,-0.0485682,0.178975
0.0887,-0.0422836,0.177689
0.0885,-0.0355806,0.176421
0.0876,-0.0306194,0.175171
0.0866,-0.0286414,0.173938
0.0848,-0.0228668,0.172721
0.0827,-0.0196468,0.171519
0.0804,-0.0168696,0.170332
0.0781,-0.0151062,0.169158
0.0757,-0.0128448,0.167999
0.0735,-0.0122484,0.166854
0.0715,-0.0117748,0.165723
0.0702,-0.0141206,0.164607
0.068,-0.0081308,0.163503
0.067,-0.0131648,0.162414
0.0658,-0.011162,0.161339
0.0648,-0.0112744,0.160277
0.064,-0.0114822,0.159229
0.0634,-0.0118032,0.158194
0.0631,-0.0128016,0.157173
0.0631,-0.0139712,0.156165
0.0632,-0.014223,0.15517
0.0634,-0.01454,0.154189
0.0638,-0.0154734,0.15322
0.0643,-0.015985,0.152265
0.0649,-0.0165762,0.151322
0.0656,-0.0172474,0.150391
0.0661,-0.0163782,0.149473
0.0668,-0.0176162,0.148567
0.0676,-0.0184342,0.147672
0.0684,-0.0187938,0.146789
0.069,-0.018101,0.145918
0.0697,-0.0189882,0.145058
0.0719,-0.027519,0.14421
0.0824,-0.0734166,0.143382
0.0959,-0.0940782,0.142579
0.1159,-0.134917,0.14181
0.131,-0.116862,0.141073
0.1489,-0.138497,0.140373
0.1615,-0.117569,0.139705
0.1685,-0.0929358,0.139058
0.1702,-0.0677152,0.138421
0.1679,-0.0474094,0.137788
0.1648,-0.0428048,0.137156
0.1586,-0.0254744,0.136519
0.151,-0.0160932,0.135877
0.1426,-0.0093898,0.135228
0.1367,-0.0201946,0.134577
0.1253,0.0112046,0.133916
0.1195,-0.0151416,0.133255
0.1116,-0.0021464,0.132591
0.1042,-0.0023444,0.131926
0.0994,-0.0140832,0.131263
0.0928,-0.0030976,0.1306
0.0865,-0.0027258,0.129938
0.0806,-0.0030068,0.129278
0.0772,-0.0147828,0.128622
0.0712,-8.0005e-06,0.127968
0.0685,-0.0160474,0.127319
0.0652,-0.0123378,0.126675
0.0621,-0.012698,0.126035
0.0603,-0.019069,0.125401
0.0577,-0.0146078,0.124772
0.0552,-0.0146762,0.124148
0.0529,-0.0153112,0.123529
0.0507,-0.0154716,0.122915
0.0494,-0.0199782,0.122306
0.0475,-0.0167292,0.121703
0.0456,-0.016464,0.121105
0.0477,-0.0377904,0.120514
0.0601,-0.0947528,0.119935
0.081,-0.146139,0.119376
0.1065,-0.179907,0.118847
0.1204,-0.128048,0.118338
0.1335,-0.129881,0.11785
0.1392,-0.0957502,0.117374
0.1386,-0.064588,0.116902
0.1324,-0.0346532,0.116427
0.1224,-0.012168,0.115944
0.1145,-0.0199922,0.115456
0.1022,0.0064836,0.114961
0.0891,0.015321,0.114458
0.0762,0.0191194,0.113951
0.0645,0.0174758,0.11344
0.0543,0.0137668,0.112929
0.0485,-0.0061768,0.112419
0.041,0.0050882,0.111911
0.0345,0.0024782,0.111405
0.029,-0.000495801,0.110903
0.0248,-0.0054476,0.110404
0.0218,-0.010332,0.109909
0.0203,-0.0172682,0.109418
0.0186,-0.0155776,0.108931
0.0172,-0.016469,0.108448
0.0161,-0.017451,0.107969
0.0153,-0.018537,0.107495
0.0149,-0.02026,0.107024
0.0142,-0.0183528,0.106558
0.0136,-0.018475,0.106095
0.013,-0.0180894,0.105637
0.0126,-0.018779,0.105182
0.012,-0.0173856,0.104731
0.0128,-0.0245542,0.104284
