cte,steering_angle,error
0.1837,-0.0221516,0.152309
0.1815,-0.0190392,0.151691
0.179,-0.0178758,0.151074
0.1764,-0.017707,0.150459
0.1747,-0.0227344,0.149847
0.1719,-0.0175486,0.149236
0.175,-0.0485658,0.148637
0.1877,-0.100044,0.148067
0.2092,-0.14934,0.147546
0.2331,-0.167173,0.147082
0.2455,-0.113241,0.146652
0.2571,-0.112683,0.146255
0.262,-0.081304,0.145875
0.2614,-0.05483,0.145497
0.2562,-0.031929,0.145109
0.2509,-0.031501,0.144712
0.2416,-0.0107566,0.144297
0.2308,-0.0021914,0.143861
0.2193,0.0025378,0.143405
0.2117,-0.0164954,0.142938
0.2007,0.001676,0.142454
0.1897,0.0028762,0.141954
0.1825,-0.0156648,0.141446
0.1693,0.016028,0.140922
0.163,-0.0181374,0.140392
0.1547,-0.0073754,0.139856
0.147,-0.0096936,0.139313
0.1396,-0.0105226,0.138766
0.135,-0.02436,0.138218
0.1286,-0.0147766,0.137668
0.122,-0.013094,0.137114
0.1155,-0.0128786,0.136559
0.1094,-0.0142078,0.136003
0.1054,-0.0244088,0.135448
0.0997,-0.01524,0.134893
0.0938,-0.0134952,0.134337
0.088,-0.0132358,0.133782
0.0842,-0.0228472,0.133229
0.0787,-0.0135882,0.132677
0.0736,-0.0148814,0.132126
0.0758,-0.052123,0.131581
0.0914,-0.122566,0.131052
0.1052,-0.116662,0.130539
0.1265,-0.158787,0.130052
0.142,-0.133268,0.129586
0.1494,-0.094632,0.129134
0.1499,-0.0606044,0.128685
0.1458,-0.0371368,0.128236
0.1405,-0.0304112,0.127784
0.1226,0.0358848,0.127316
0.1138,-0.0081144,0.126843
0.1019,0.009544,0.126364
0.0906,0.0086118,0.12588
0.0798,0.0081108,0.125392
0.0733,-0.0122168,0.124904
0.0645,0.000943598,0.124415
0.0562,2.67984e-05,0.123926
0.0488,-0.0030468,0.123438
0.0444,-0.0172024,0.122952
0.0387,-0.009577,0.122469
0.0334,-0.0105112,0.121987
0.0302,-0.0203492,0.121508
0.0258,-0.013432,0.121033
0.0217,-0.0140568,0.12056
0.0178,-0.014204,0.12009
0.0154,-0.0211362,0.119624
0.0121,-0.0158718,0.119161
0.0088,-0.0150912,0.118701
0.0066,-0.020017,0.118245
0.0036,-0.0152706,0.117792
0.0006,-0.0145046,0.117342
-0.0014,-0.0189028,0.116896
-0.0042,-0.0140998,0.116453
-0.0069,-0.0137608,0.116014
-0.0093,-0.0144422,0.115578
0.0305,-0.233101,0.115149
0.0312,-0.037407,0.114723
0.0533,-0.148514,0.114307
0.0985,-0.272817,0.113919
0.1372,-0.247889,0.113568
0.1552,-0.147855,0.113239
0.1685,-0.126906,0.112929
0.1695,-0.0655006,0.112621
0.1608,-0.0151404,0.112306
0.151,-0.007543,0.111982
0.1337,0.0335848,0.111642
0.1146,0.0466058,0.111287
0.1019,0.0173666,0.110926
0.0847,0.0435564,0.110555
0.069,0.0394724,0.110179
0.0598,0.0091016,0.109801
0.0485,0.0221702,0.109421
0.0423,-0.0017736,0.109042
0.035,0.0055124,0.108664
0.0294,-0.0015334,0.108287
0.0267,-0.01516,0.107912
0.0239,-0.013764,0.107539
0.0221,-0.0180688,0.107169
0.021,-0.0210158,0.106801
0.0207,-0.0246268,0.106435
0.0203,-0.02372,0.106072
0.02,-0.023837,0.105712
0.0197,-0.0234584,0.105353
0.0217,-0.035049,0.104998
0.0329,-0.0830054,0.104647
0.0447,-0.088111,0.104301
0.0661,-0.140173,0.103966
0.083,-0.120844,0.103641
0.0905,-0.0751064,0.103323
0.0954,-0.062811,0.10301
0.0945,-0.033329,0.102698
0.0913,-0.0208574,0.102387
0.084,0.0014586,0.102073
0.0747,0.013692,0.101757
0.0681,0.0018882,0.10144
0.0586,0.0186728,0.10112
0.0497,0.0178366,0.1008
0.0444,0.0012694,0.10048
0.038,0.008412,0.100161
0.0329,0.0032896,0.0998422
0.0294,-0.0036678,0.099525
0.0279,-0.0130442,0.0992095
