cte,steering_angle,error
0.7598,-0.0410292,0.577296
0.7598,-0.0425488,0.577296
0.7598,-0.0440684,0.577296
0.7598,-0.045588,0.577296
0.7598,-0.0471076,0.577296
0.7598,-0.0486272,0.577296
0.7599,-0.050352,0.577318
0.7598,-0.0514666,0.577315
0.7597,-0.052981,0.577296
0.7595,-0.05429,0.57725
0.7593,-0.0557986,0.577186
0.7592,-0.057512,0.577119
0.7589,-0.0586148,0.577027
0.7585,-0.0599118,0.576906
0.7581,-0.061408,0.57676
0.7576,-0.0626982,0.576584
0.757,-0.0639822,0.576376
0.7564,-0.065465,0.576141
0.7559,-0.0671518,0.575891
0.7551,-0.068022,0.575605
0.7542,-0.0692854,0.575282
0.7532,-0.0705418,0.57492
0.752,-0.0715858,0.57451
0.7512,-0.0738482,0.574085
0.7497,-0.0738726,0.573603
0.7481,-0.0750888,0.573067
0.7463,-0.0760914,0.57247
0.7443,-0.07708,0.57181
0.7429,-0.0796958,0.571124
0.7405,-0.0790568,0.570364
0.7378,-0.0797974,0.569525
0.7349,-0.0807222,0.568605
0.7317,-0.0814256,0.567598
0.7282,-0.082107,0.5665
0.7258,-0.0856386,0.565366
0.7204,-0.0808094,0.564077
0.6921,-0.0349786,0.561778
0.6879,-0.0843444,0.559447
0.682,-0.0820134,0.557028
0.6755,-0.0818394,0.55451
0.6706,-0.0861356,0.551954
0.6518,-0.0586992,0.548927
0.6427,-0.0789296,0.545768
0.6336,-0.0797418,0.542488
0.6273,-0.0862814,0.539177
0.6183,-0.081668,0.535767
0.6115,-0.086951,0.532323
0.6091,-0.0968492,0.528963
0.6111,-0.106971,0.525789
0.5959,-0.0730032,0.522375
0.5877,-0.0877686,0.518905
0.5817,-0.093032,0.515433
0.5769,-0.0963458,0.511987
0.5724,-0.0978656,0.508573
0.5695,-0.10206,0.505224
0.5645,-0.0987386,0.501892
0.5564,-0.0932464,0.498518
0.5519,-0.101325,0.495175
0.5445,-0.0962442,0.491807
0.5391,-0.101052,0.488454
0.5271,-0.0883066,0.485001
0.5205,-0.0998176,0.481548
0.51,-0.0925126,0.478033
0.4986,-0.0911398,0.474448
0.4861,-0.089287,0.470784
0.4774,-0.0974068,0.467105
0.4634,-0.0870336,0.463338
0.4484,-0.0851804,0.459481
0.4323,-0.08304,0.45553
0.4211,-0.0931222,0.451556
0.4035,-0.0802492,0.447489
0.3847,-0.0776786,0.443329
0.3649,-0.0754184,0.43908
0.3442,-0.0732718,0.434748
0.3299,-0.0860166,0.430402
0.3077,-0.069722,0.425985
0.2844,-0.0669258,0.421503
0.2599,-0.0638206,0.416965
0.2433,-0.0792772,0.412436
0.2178,-0.0606378,0.407874
0.1906,-0.056259,0.403287
0.1627,-0.0537894,0.398692
0.1436,-0.0707216,0.394137
0.1145,-0.0494956,0.389601
0.0843,-0.0459542,0.385101
0.0531,-0.0425004,0.380656
0.0214,-0.0399582,0.376285
0,-0.0594882,0.372009
-0.0327,-0.0351878,0.367842
-0.0666,-0.0309596,0.363804
-0.1013,-0.027422,0.359919
-0.1359,-0.0256202,0.356207
-0.1712,-0.0221128,0.352692
-0.1948,-0.0439432,0.349344
-0.2303,-0.0179076,0.346225
-0.267,-0.0131386,0.343361
-0.2917,-0.0353202,0.340698
-0.3285,-0.0086232,0.338323
-0.3662,-0.0042058,0.33626
-0.4038,-0.000198604,0.334528
-0.4288,-0.0217714,0.333036
-0.4661,0.0071454,0.331901
-0.5036,0.0119472,0.331141
-0.541,0.0162188,0.330771
-0.5654,-0.0059108,0.330666
-0.6013,0.0216064,0.330957
-0.6374,0.026606,0.331661
-0.6726,0.0294308,0.332779
-0.6955,0.0088862,0.334164
-0.729,0.0347382,0.335957
-0.7617,0.0378152,0.338157
-0.7936,0.0409158,0.340761
-0.8139,0.0218764,0.343608
-0.843,0.0441344,0.346828
-0.8713,0.0472082,0.350413
-0.898,0.0486544,0.354344
-0.923,0.0498644,0.358597
-0.9459,0.050214,0.363141
-0.9589,0.0344936,0.367816
-0.9729,0.0406496,0.372638
-0.9808,0.0323146,0.377509
-0.9821,0.0226502,0.38232
-0.9772,0.0134636,0.386976
-0.9717,0.0154344,0.39147
-0.9628,0.0116144,0.395754
-0.953,0.0127266,0.399821
-0.9422,0.0135636,0.403663
-0.9304,0.014323,0.407272
-0.9176,0.015004,0.410642
-0.9035,0.014987,0.413762
-0.8884,0.0154844,0.416629
-0.8775,0.0265642,0.419306
-0.8601,0.0158778,0.421715
-0.8412,0.0150716,0.423849
-0.8207,0.0139396,0.425698
-0.799,0.0134934,0.427262
-0.776,0.0126796,0.428539
-0.76,0.0287754,0.429619
-0.7349,0.0121542,0.430414
-0.6797,-0.0480954,0.43064
-0.65,0.0040608,0.430582
-0.6214,0.0073772,0.430269
-0.5923,0.0073922,0.429713
-0.5621,0.0060736,0.428923
-0.5304,0.003804,0.427905
-0.4977,0.002401,0.426671
-0.4638,0.000456602,0.425232
-0.4289,-0.0012124,0.423602
-0.3931,-0.002794,0.421796
-0.3687,0.0207152,0.41989
-0.3316,-0.0047012,0.417838
-0.2927,-0.0084974,0.415652
-0.2529,-0.0106278,0.413354
-0.2124,-0.0124832,0.410962
-0.1715,-0.0138462,0.408501
-0.1302,-0.0153218,0.405991
-0.0885,-0.016917,0.403455
-0.0465,-0.0184202,0.400915
-0.0043,-0.0198326,0.398394
0.0382,-0.0215558,0.395913
0.0666,0.0061452,0.393481
0.1091,-0.023357,0.391126
0.1678,-0.0580076,0.388899
0.2002,-0.0064308,0.386772
0.2536,-0.0506358,0.384818
0.3128,-0.0648666,0.383089
0.3797,-0.0834442,0.381658
0.4473,-0.088222,0.380578
0.5123,-0.086432,0.379879
0.5739,-0.0830176,0.379581
0.6325,-0.0804056,0.379701
0.688,-0.0775872,0.380246
0.7405,-0.0749634,0.381217
0.7902,-0.0727404,0.382615
0.837,-0.0702946,0.384432
0.8809,-0.067836,0.386657
0.9221,-0.0657714,0.389276
0.9604,-0.0632874,0.392271
0.9844,-0.0373696,0.395493
1.0184,-0.0606708,0.399058
1.0506,-0.0604008,0.402951
1.0807,-0.0595418,0.407154
1.1082,-0.057646,0.41164
1.1333,-0.0561386,0.416383
