cte,steering_angle,error
0.7598,-0.0410292,0.577296
0.7598,-0.0425488,0.577296
0.7598,-0.0440684,0.577296
0.7598,-0.045588,0.577296
0.7598,-0.0471076,0.577296
0.7598,-0.0486272,0.577296
0.7598,-0.0501468,0.577296
0.7598,-0.0516664,0.577296
0.7596,-0.0515756,0.577262
0.7594,-0.0530844,0.577205
0.7591,-0.0537876,0.577117
0.7588,-0.0552902,0.577005
0.7586,-0.0575974,0.576887
0.7583,-0.058299,0.576754
0.7578,-0.0581896,0.576588
0.7574,-0.0604844,0.576404
0.7568,-0.060368,0.576189
0.7562,-0.0618504,0.575947
0.7557,-0.0641368,0.575691
0.755,-0.0640118,0.575408
0.7541,-0.063875,0.575087
0.7531,-0.0645312,0.574727
0.752,-0.0651802,0.574326
0.7509,-0.066627,0.573889
0.7496,-0.0664612,0.57341
0.7481,-0.0662824,0.572881
0.7471,-0.0717266,0.572335
0.7454,-0.0675324,0.571738
0.7435,-0.0673244,0.571085
0.7415,-0.0679074,0.570376
0.7393,-0.067676,0.569608
0.7368,-0.0666246,0.568773
0.735,-0.0736046,0.567908
0.7322,-0.066929,0.566973
0.7291,-0.0658322,0.565962
0.7258,-0.0655188,0.564873
0.7022,0.0966568,0.562933
0.7006,-0.0806644,0.561036
0.6986,-0.0787616,0.559164
0.6949,-0.0663664,0.557257
0.6896,-0.0546806,0.555264
0.6837,-0.050953,0.553174
0.6715,-0.001286,0.550795
0.6651,-0.0486962,0.548331
0.6596,-0.0569404,0.545814
0.655,-0.0652204,0.543275
0.653,-0.0872264,0.540789
0.6532,-0.106143,0.538411
0.655,-0.120343,0.536179
0.6453,-0.0291484,0.533783
0.6402,-0.0669738,0.531354
0.6383,-0.0937554,0.52897
0.6381,-0.108622,0.526672
0.638,-0.110693,0.524457
0.6372,-0.106327,0.522304
0.6354,-0.0995078,0.520186
0.6328,-0.0942434,0.518085
0.6295,-0.0897374,0.515985
0.6257,-0.0867988,0.513875
0.6213,-0.0830214,0.511744
0.6182,-0.0945028,0.50962
0.613,-0.0786688,0.507461
0.6069,-0.0723776,0.505253
0.6003,-0.0692482,0.502989
0.5932,-0.0660796,0.500664
0.5858,-0.0644812,0.498278
0.5722,-0.0153456,0.495727
0.5634,-0.0544324,0.493105
0.5552,-0.0599328,0.490426
0.5467,-0.0582012,0.48769
0.5405,-0.0773722,0.484936
0.5269,-0.018546,0.482056
0.5194,-0.0680098,0.479148
0.5085,-0.0412818,0.476168
0.4967,-0.0344852,0.473108
0.4887,-0.0654626,0.470025
0.4724,0.000807595,0.466819
0.4637,-0.0604848,0.463591
0.4516,-0.033583,0.460305
0.4387,-0.0274154,0.456956
0.4251,-0.0219856,0.453546
0.416,-0.0583626,0.450125
0.4025,-0.0232926,0.446654
0.3876,-0.0121228,0.443125
0.3724,-0.00970761,0.439544
0.3577,-0.013688,0.43592
0.3434,-0.0168598,0.432265
0.3338,-0.0546474,0.428619
0.3193,-0.015361,0.424949
0.3036,-0.00558321,0.421251
0.2874,-0.00134801,0.41753
0.277,-0.047782,0.413826
0.2569,0.0303092,0.410085
0.2463,-0.0456534,0.406368
0.2317,-0.0133868,0.402656
0.2162,-0.00584421,0.398948
0.2005,-0.00386021,0.39525
0.1901,-0.0461204,0.391585
0.1747,-0.00569981,0.387938
0.1584,0.00351799,0.38431
0.1419,0.00717879,0.380704
0.1263,0.00202579,0.377128
0.1163,-0.0409872,0.373598
0.1017,-0.00214101,0.370105
0.0862,0.00718119,0.366651
0.0705,0.0109448,0.363239
0.0558,0.00508779,0.359873
0.0465,-0.0362206,0.356561
0.0329,0.000312795,0.3533
0.0186,0.00810939,0.350091
0.0042,0.0111392,0.346938
-0.0093,0.0061504,0.343841
-0.0219,0.0011414,0.340802
-0.0452,0.0895134,0.33783
-0.0526,-0.0356958,0.334917
-0.0582,-0.0481846,0.332059
-0.0593,-0.0824974,0.329251
-0.0581,-0.0993288,0.326489
-0.0561,-0.104205,0.323772
-0.0524,-0.116375,0.321097
-0.0486,-0.11576,0.318463
-0.048,-0.0885878,0.315871
-0.0509,-0.058837,0.313324
-0.0542,-0.0538618,0.310821
-0.0599,-0.0327578,0.308363
-0.0663,-0.025209,0.305951
-0.073,-0.0208338,0.303584
-0.0795,-0.020459,0.301261
-0.086,-0.018475,0.298983
-0.0903,-0.0341964,0.296746
-0.0989,0.00231,0.294556
-0.1035,-0.0277794,0.292405
-0.1097,-0.01298,0.290297
-0.1161,-0.0093634,0.288231
-0.1225,-0.0073402,0.286207
-0.1286,-0.0077264,0.284225
-0.1343,-0.0089684,0.282282
-0.1378,-0.0247166,0.280374
-0.143,-0.0091734,0.278504
-0.1483,-0.006422,0.276672
-0.1537,-0.0036654,0.274877
-0.1584,-0.0073462,0.273118
-0.1627,-0.0086628,0.271393
-0.1653,-0.020472,0.269698
-0.1689,-0.010635,0.268035
-0.1726,-0.0079948,0.266403
-0.1761,-0.0077616,0.264802
-0.1794,-0.0075314,0.26323
-0.1821,-0.0105222,0.261686
-0.1845,-0.0111426,0.260168
-0.1858,-0.0182256,0.258674
-0.1876,-0.0124838,0.257204
-0.1895,-0.0099336,0.255757
-0.1912,-0.0097902,0.254334
-0.1926,-0.0104606,0.252932
-0.1936,-0.0119526,0.251551
-0.1943,-0.0126634,0.250189
-0.1946,-0.0142002,0.248846
-0.1949,-0.012544,0.24752
-0.195,-0.0125064,0.24621
-0.1949,-0.0124852,0.244917
-0.1942,-0.0157058,0.243638
-0.1887,-0.0527896,0.242362
-0.1811,-0.0684068,0.241084
-0.1626,-0.15502,0.239783
-0.1399,-0.188304,0.238456
-0.1213,-0.155047,0.237117
-0.1112,-0.0862026,0.235779
-0.1085,-0.0258102,0.234453
-0.1091,0.0019314,0.233144
-0.1102,0.0072878,0.231852
-0.1103,0.0005672,0.230574
-0.1092,-0.0078306,0.229311
-0.1072,-0.0138992,0.228059
-0.1048,-0.0160162,0.226818
-0.1024,-0.014954,0.225589
-0.1008,-0.0074876,0.224372
-0.0984,-0.0128834,0.223166
-0.0957,-0.0143238,0.22197
-0.0926,-0.0166162,0.220785
-0.0895,-0.015742,0.219609
-0.0873,-0.0076454,0.218445
