cte,steering_angle,error
0.7598,-0.0410292,0.577296
0.7598,-0.0425488,0.577296
0.7598,-0.0440684,0.577296
0.7598,-0.045588,0.577296
0.7598,-0.0471076,0.577296
0.7598,-0.0486272,0.577296
0.7599,-0.050652,0.577318
0.7598,-0.0511666,0.577315
0.7596,-0.0521758,0.577279
0.7594,-0.0536846,0.57722
0.7592,-0.055193,0.577144
0.759,-0.056701,0.577056
0.7588,-0.0582086,0.576957
0.7584,-0.0587054,0.57683
0.7576,-0.0581806,0.576638
0.7573,-0.0621802,0.576442
0.7567,-0.0621636,0.576216
0.756,-0.0631406,0.575956
0.7553,-0.0646162,0.575668
0.7546,-0.0660904,0.575355
0.7537,-0.0665528,0.575008
0.7531,-0.069529,0.574651
0.7521,-0.0689832,0.57426
0.7509,-0.069425,0.573826
0.7492,-0.0683384,0.573325
0.7477,-0.0707588,0.572777
0.7467,-0.0747022,0.572213
0.7445,-0.0700812,0.571573
0.7425,-0.0724662,0.570874
0.7404,-0.073342,0.570118
0.7388,-0.0772396,0.569334
0.7364,-0.0745924,0.568489
0.7336,-0.0739196,0.56757
0.7306,-0.0742308,0.566576
0.7274,-0.0745256,0.565506
0.7239,-0.0742984,0.564354
0.7214,-0.0806162,0.563166
0.7132,-0.0531326,0.561732
0.7085,-0.0718146,0.560199
0.7039,-0.0734924,0.558581
0.7007,-0.0817338,0.556932
0.6954,-0.0723596,0.555186
0.6895,-0.0704436,0.553331
0.6833,-0.0700002,0.551366
0.679,-0.0806432,0.549359
0.6699,-0.057528,0.547172
0.665,-0.079613,0.544939
0.6576,-0.0680582,0.542596
0.6496,-0.0659574,0.540134
0.6411,-0.0643146,0.537552
0.6353,-0.0787952,0.534925
0.6279,-0.071681,0.53222
0.623,-0.085182,0.529501
0.6231,-0.111433,0.526886
0.6154,-0.073279,0.524192
0.6073,-0.0720886,0.521417
0.6016,-0.0850068,0.518619
0.5989,-0.10107,0.515861
0.5956,-0.0990958,0.51313
0.5923,-0.100115,0.510425
0.5887,-0.0996128,0.507739
0.5844,-0.0970666,0.505058
0.5793,-0.0939702,0.502368
0.5735,-0.0913272,0.499658
0.567,-0.0886362,0.496917
0.5623,-0.0985258,0.494178
0.5547,-0.0847552,0.491395
0.5462,-0.0809226,0.488556
0.5369,-0.0775314,0.485653
0.5305,-0.0927724,0.482736
0.5203,-0.074303,0.479749
0.5091,-0.0697612,0.476686
0.4972,-0.0666606,0.473542
0.4848,-0.0645102,0.470319
0.4719,-0.062309,0.467017
0.4629,-0.0822848,0.463692
0.449,-0.0579878,0.460288
0.4339,-0.0521006,0.456801
0.4181,-0.0486468,0.453231
0.4073,-0.0739214,0.449639
0.3854,-0.0180972,0.445922
0.3738,-0.0697648,0.442188
0.3568,-0.0426284,0.438394
0.339,-0.0384164,0.434543
0.3266,-0.0654496,0.430686
0.3078,-0.0331252,0.42678
0.2881,-0.0282164,0.422828
0.2678,-0.024737,0.418838
0.2544,-0.0590758,0.414859
0.2344,-0.0255446,0.41086
0.2129,-0.0173954,0.406844
0.1911,-0.0151876,0.402818
0.1693,-0.0144362,0.398795
0.1549,-0.051026,0.394808
0.1335,-0.015223,0.39084
0.1107,-0.00730441,0.386896
0.0876,-0.00482461,0.382986
0.0648,-0.00531421,0.379121
0.0425,-0.00678421,0.37531
0.0277,-0.04208,0.371565
0.0054,-0.00195621,0.367886
-0.0177,0.00475379,0.364282
-0.0411,0.00902559,0.360762
-0.0636,0.00729739,0.357332
-0.0856,0.00758819,0.353999
-0.0999,-0.0284774,0.350753
-0.1208,0.007329,0.347612
-0.1427,0.015229,0.344581
-0.1643,0.0166568,0.341668
-0.1852,0.016091,0.338874
-0.1985,-0.0193286,0.336176
-0.2176,0.0125796,0.333597
-0.2375,0.0195672,0.331144
-0.2568,0.0195626,0.328818
-0.2752,0.0180482,0.326617
-0.2868,-0.0132836,0.32451
-0.3035,0.0151718,0.322524
-0.3204,0.0191696,0.320661
-0.3368,0.0196738,0.318919
-0.3522,0.0176574,0.317295
-0.3618,-0.0086316,0.315755
-0.3753,0.0138002,0.314321
-0.389,0.0177674,0.312996
-0.4004,0.00914,0.311765
-0.4062,-0.0162592,0.310591
-0.4066,-0.0409306,0.309438
-0.4043,-0.0522436,0.308288
-0.398,-0.0702736,0.307117
-0.3897,-0.0784242,0.305914
-0.383,-0.0685124,0.304689
-0.3787,-0.0544924,0.303458
-0.3762,-0.0433922,0.302231
-0.3749,-0.0352402,0.301015
-0.3745,-0.02855,0.299816
-0.3741,-0.026367,0.298632
-0.3739,-0.0231814,0.297464
-0.3738,-0.020496,0.296312
-0.3739,-0.0173168,0.295178
-0.3739,-0.015652,0.29406
-0.374,-0.0129912,0.292959
-0.3739,-0.011847,0.291873
-0.3736,-0.010724,0.2908
-0.3732,-0.0091186,0.289741
-0.3724,-0.0090472,0.288692
-0.3713,-0.0085016,0.287651
-0.3699,-0.007992,0.286618
-0.3681,-0.0080158,0.28559
-0.3667,-0.0040372,0.284569
-0.3643,-0.0071294,0.28355
-0.3614,-0.0077694,0.282531
-0.358,-0.0084528,0.281508
-0.3542,-0.0086786,0.280482
-0.3515,-0.0013646,0.279456
-0.3471,-0.0081442,0.278424
-0.342,-0.0099844,0.277382
-0.3365,-0.0103718,0.27633
-0.3306,-0.0108024,0.275266
-0.3244,-0.0107658,0.27419
-0.32,-0.000154599,0.273109
-0.311,-0.021798,0.272007
-0.306,-0.000258599,0.270899
-0.2986,-0.0108626,0.269777
-0.2907,-0.0120176,0.26864
-0.2822,-0.0137312,0.267488
-0.2764,0.0011656,0.26633
-0.2675,-0.0131198,0.265156
-0.2579,-0.0154746,0.263967
-0.2478,-0.0168916,0.262761
-0.2376,-0.0163526,0.261541
-0.227,-0.0173676,0.260305
-0.212,-0.038653,0.259046
-0.1984,-0.030918,0.257769
-0.1594,-0.158555,0.256425
-0.1358,-0.0814936,0.255058
-0.1052,-0.116869,0.253663
-0.0791,-0.0945904,0.252258
-0.0572,-0.073673,0.250851
-0.0449,-0.0253304,0.249453
-0.0287,-0.0447468,0.248064
-0.0133,-0.0406756,0.246687
0.0055,-0.0578558,0.245324
0.014,-0.0060612,0.243977
