cte,steering_angle,error
0.6463,-0.015815,0.53366
0.6432,-0.01666,0.533067
0.64,-0.016,0.532458
0.6424,-0.04412,0.531871
0.6546,-0.09373,0.531367
0.6756,-0.13878,0.531003
0.6922,-0.11761,0.530753
0.712,-0.1346,0.530638
0.7257,-0.104785,0.530619
0.7331,-0.073655,0.530651
0.7348,-0.04524,0.530695
0.7324,-0.02462,0.530722
0.7273,-0.010865,0.530714
0.7232,-0.01566,0.530678
0.7144,0.00828,0.530584
0.7098,-0.01249,0.53046
0.7034,-0.00317,0.530295
0.6973,-0.004365,0.530093
0.6933,-0.014665,0.529868
0.6878,-0.00689,0.529609
0.6824,-0.00712,0.52932
0.6773,-0.008365,0.529002
0.6728,-0.01114,0.52866
0.6688,-0.01344,0.528296
0.6652,-0.01526,0.527915
0.6619,-0.016595,0.527518
0.6588,-0.01744,0.527106
0.6568,-0.02284,0.526686
0.653,-0.01365,0.526248
0.651,-0.02255,0.525803
0.6482,-0.01841,0.525345
0.6453,-0.017765,0.524876
0.6433,-0.022165,0.524399
0.6403,-0.017015,0.52391
0.6371,-0.015855,0.523408
0.6338,-0.01519,0.522892
0.6356,-0.04078,0.522391
0.6425,-0.066625,0.52193
0.6603,-0.122015,0.521571
0.6847,-0.156235,0.521351
0.7056,-0.13978,0.521254
0.7186,-0.10093,0.521233
0.7235,-0.060675,0.521243
0.7219,-0.028095,0.521242
0.7131,0.008345,0.52119
0.7034,0.01333,0.521083
0.6967,-0.001335,0.520938
0.6874,0.01213,0.520743
0.6785,0.010575,0.520501
0.6704,0.00698,0.520216
0.6635,0.001325,0.519898
0.6597,-0.013985,0.519562
0.6563,-0.015815,0.51921
0.6515,-0.008575,0.518837
0.647,-0.00985,0.518444
0.6429,-0.011645,0.518034
0.6405,-0.020025,0.517614
0.6373,-0.015865,0.517182
0.6343,-0.016715,0.516739
0.6314,-0.01707,0.516285
0.6288,-0.01844,0.515821
0.6262,-0.01831,0.515349
0.6237,-0.018685,0.514869
0.6221,-0.023105,0.514385
0.6196,-0.01848,0.513892
0.6178,-0.02189,0.513395
0.6151,-0.017255,0.512889
0.6122,-0.01611,0.512374
0.6092,-0.01546,0.511849
0.6062,-0.01531,0.511314
0.6044,-0.02122,0.510775
0.6114,-0.06557,0.510272
0.6374,-0.16187,0.509891
0.6811,-0.252555,0.509723
0.727,-0.26585,0.509792
0.7502,-0.15351,0.509984
0.7708,-0.14154,0.510287
0.7788,-0.07894,0.510634
0.7784,-0.03692,0.510975
0.7683,0.012085,0.511258
0.7598,0.00451,0.511493
0.7463,0.030185,0.511655
0.7322,0.03389,0.511741
0.7188,0.03106,0.511758
0.711,0.00345,0.511736
0.7009,0.015455,0.511665
0.695,-0.00525,0.511565
0.6875,0.003125,0.51143
0.6812,-0.00256,0.511266
0.6777,-0.016385,0.511087
0.6734,-0.01217,0.510889
0.6697,-0.014985,0.510675
0.6667,-0.018335,0.510449
0.665,-0.02475,0.510217
0.6626,-0.02113,0.509976
0.6603,-0.021515,0.509726
0.6586,-0.02443,0.50947
0.6561,-0.020305,0.509205
0.6535,-0.019675,0.50893
0.6549,-0.039745,0.508663
0.6658,-0.08779,0.508446
0.6858,-0.13429,0.50832
0.704,-0.1262,0.508278
0.7126,-0.07863,0.508277
0.7191,-0.068455,0.508305
0.7198,-0.03949,0.508338
0.7157,-0.015285,0.50835
0.7109,-0.011545,0.508341
0.7024,0.00738,0.508292
0.6927,0.013865,0.5082
0.6862,-0.00181,0.50808
0.6772,0.01114,0.507922
0.6688,0.00856,0.507728
0.6638,-0.00819,0.507514
0.6574,-0.00087,0.507275
0.6519,-0.005095,0.507015
0.6488,-0.01694,0.506743
0.6449,-0.012745,0.506457
0.6415,-0.015075,0.50616
0.6387,-0.017935,0.505853
0.637,-0.02335,0.505541
0.6347,-0.020235,0.505222
0.6325,-0.020625,0.504897
0.6339,-0.038695,0.504578
0.6601,-0.164005,0.504367
0.6881,-0.174405,0.504272
0.7205,-0.198025,0.504317
0.7655,-0.263275,0.504566
0.7981,-0.202905,0.504969
0.8107,-0.103535,0.50543
0.8167,-0.070835,0.505918
0.8115,-0.014575,0.506378
0.8035,-0.000175001,0.506796
0.788,0.0381,0.507138
0.7637,0.083315,0.507365
0.7454,0.05423,0.507509
0.7309,0.035955,0.507588
0.7208,0.01446,0.507623
0.7141,-0.002205,0.50763
0.7113,-0.021565,0.507625
0.7086,-0.02193,0.507609
0.7067,-0.025835,0.507585
0.7053,-0.028265,0.507555
0.7045,-0.031225,0.507523
0.7031,-0.028155,0.507485
0.7013,-0.026065,0.507439
0.6991,-0.023955,0.507385
0.6973,-0.025865,0.507325
0.6953,-0.024765,0.507256
0.6919,-0.017595,0.507175
0.688,-0.0149,0.507078
0.6838,-0.01319,0.506966
0.6809,-0.019545,0.506843
0.6767,-0.012835,0.506705
0.6724,-0.01212,0.506551
0.6682,-0.01241,0.506383
0.6656,-0.02028,0.506205
0.6618,-0.01409,0.506015
0.6641,-0.044705,0.505834
0.7046,-0.23773,0.505808
0.7495,-0.261975,0.505963
0.7994,-0.28947,0.50633
0.8596,-0.34398,0.506971
0.8995,-0.244475,0.507801
0.9148,-0.12224,0.508702
0.9123,-0.033115,0.509587
0.8964,0.03468,0.510388
0.8806,0.03497,0.511108
0.8546,0.08727,0.511702
0.8367,0.047665,0.512211
0.812,0.0829,0.512608
0.79,0.0705,0.512907
0.7775,0.023625,0.513153
0.763,0.03435,0.513337
0.7523,0.015885,0.513478
0.7472,-0.01186,0.513597
0.7422,-0.01211,0.513696
0.7393,-0.022465,0.513783
0.7452,-0.06676,0.513892
0.7647,-0.135735,0.514079
0.8109,-0.271545,0.514455
0.8399,-0.186995,0.514955
0.8702,-0.19501,0.515588
0.8856,-0.12128,0.516288
0.8869,-0.050845,0.51699
0.8809,-0.014045,0.517661
0.8659,0.031705,0.518261
0.8532,0.02084,0.518801
0.8336,0.05632,0.519254
0.8205,0.024475,0.519649
0.8027,0.048865,0.519967
0.787,0.03915,0.520221
0.778,0.0061,0.520437
0.7676,0.01362,0.520612
0.762,-0.0101,0.520764
0.7558,-0.00679,0.520891
0.7513,-0.015065,0.521001
0.8018,-0.29259,0.521307
0.8229,-0.146645,0.521698
0.9022,-0.44161,0.522429
0.9774,-0.42487,0.523508
1.015,-0.23875,0.524769
1.0445,-0.199725,0.526174
1.0499,-0.079495,0.5276
1.0416,-0.01058,0.528976
1.0279,0.017105,0.530275
1.0015,0.081925,0.531437
0.9708,0.10496,0.532444
0.9503,0.054985,0.53335
0.9233,0.088835,0.534129
0.9074,0.03413,0.534833
0.8878,0.05361,0.535447
0.8723,0.033885,0.535993
0.8644,-0.00372,0.536503
0.8563,-0.002315,0.536978
0.851,-0.01605,0.537428
0.8488,-0.03144,0.537867
0.8469,-0.032845,0.538296
0.846,-0.0378,0.538719
0.8447,-0.035735,0.539135
0.8437,-0.037185,0.539546
0.8416,-0.03158,0.539945
0.8398,-0.03299,0.540336
0.8364,-0.02482,0.540712
0.8336,-0.02768,0.541075
0.8288,-0.01744,0.541417
0.8232,-0.01316,0.541736
0.8192,-0.02096,0.542038
0.8132,-0.01066,0.542316
0.8068,-0.00834,0.542569
0.8044,-0.02822,0.542811
0.8217,-0.127585,0.543118
0.8542,-0.20521,0.543548
